Code word;Área de Al (kcmil);Filamentos Al/Aço;Camadas de Al;diâmetro externo (mm);"rmg
(mm)";20°C (?/km);20°C (?/km);50°C (?/km);alpha (1/°C);75,00;Peso (kgf/km);Carga de Ruptura (kgf);p/T;Coeficiente de expansão linear (10-6/°C);Módulo de Elasticidade Inicial (MPa);Módulo de Elasticidade Final        (MPa);Preço por km (R$/km);Bobina (m)
Waxwing;266,8000;41292,0000;2,0000;15,4686;6,0350;0,2119;0,2168;0,2381;0,0033;0,2559;432,0000;3140,7259;0,1375;21,4400;41900,0000;66200,0000;41121,5368;4376,9280
Partridge;266,8000;41481,0000;2,0000;16,3068;6,6142;0,2100;0,2145;0,2357;0,0033;0,2533;547,0000;5078,1867;0,1077;19,3700;52400,0000;77100,0000;52006,6495;3148,5840
Ostrich;300,0000;41481,0000;2,0000;17,2720;6,9799;0,1867;0,1908;0,2096;0,0033;0,2252;616,0000;5628,8335;0,1094;19,3800;51500,0000;77000,0000;58356,2986;3310,1280
Merlin;336,4000;41292,0000;2,0000;17,3736;6,7666;0,1680;0,1720;0,1888;0,0033;0,2027;544,0000;3905,5131;0,1393;21,4400;41300,0000;66200,0000;51704,2853;3471,6720
Linnet;336,4000;41481,0000;2,0000;18,3134;7,4066;0,1663;0,1701;0,1868;0,0033;0,2008;692,0000;6240,6632;0,1109;19,3700;50900,0000;77100,0000;65613,0404;4995,6720
Oriole;336,4000;41485,0000;2,0000;18,8214;7,7724;0,1654;0,1690;0,1856;0,0033;0,1995;787,0000;7566,2943;0,1040;18,4300;55300,0000;83400,0000;74683,9676;2874,2640
Chickadee;397,5000;41292,0000;2,0000;18,8722;7,3457;0,1421;0,1456;0,1599;0,0033;0,1718;642,0000;4624,0000;0,1388;18,9050;52700,0000;80200,0000;61077,5768;2935,2240
Ibis;397,5000;41481,0000;2,0000;19,8882;8,0467;0,1411;0,1444;0,1585;0,0033;0,1704;816,0000;7239,9851;0,1127;19,3800;50100,0000;77000,0000;77405,2458;4227,5760
Pelican;477,0000;41292,0000;2,0000;20,6756;8,0467;0,1184;0,1216;0,1335;0,0033;0,1434;775,0000;5486,0732;0,1413;21,4400;40700,0000;66200,0000;73474,5107;2447,5440
Flicker;477,0000;41479,0000;2,0000;21,4884;8,6563;0,1178;0,1208;0,1326;0,0033;0,1425;916,0000;7709,0546;0,1188;19,9100;47300,0000;73900,0000;87080,9015;3249,1680
Hawk;477,0000;41481,0000;2,0000;21,7932;8,8087;0,1171;0,1200;0,1318;0,0033;0,1415;981,0000;8596,2077;0,1141;19,3600;49500,0000;77100,0000;93128,1863;3523,4880
Hen;477,0000;41485,0000;2,0000;22,4282;9,2659;0,1165;0,1193;0,1310;0,0033;0,1407;1110,0000;10503,0770;0,1057;18,4300;53900,0000;83400,0000;105827,4845;2026,9200
Osprey;556,5000;41292,0000;2,0000;22,3266;8,6563;0,1014;0,1044;0,1145;0,0033;0,1230;904,0000;6373,2263;0,1418;21,4400;40500,0000;66200,0000;85569,0803;2100,0720
Parakeet;556,5000;40383,0000;2,0000;23,2156;9,3269;0,1010;0,1037;0,1139;0,0033;0,1223;1069,0000;8902,1225;0,1201;19,9100;46800,0000;73800,0000;101594,3851;2785,8720
Dove;556,5000;41481,0000;2,0000;23,5458;9,5707;0,1007;0,1034;0,1135;0,0033;0,1219;1150,0000;9932,0359;0,1158;19,3800;49000,0000;77000,0000;108548,7627;3020,5680
Rook;636,0000;41479,0000;2,0000;24,8158;9,9670;0,0883;0,0908;0,0996;0,0032;0,1070;1224,0000;10115,5848;0,1210;19,9100;46500,0000;73800,0000;116107,8687;3657,6000
Grosbeak;636,0000;41481,0000;2,0000;25,1460;10,2108;0,0879;0,0904;0,0992;0,0033;0,1065;1310,0000;11318,8500;0,1157;19,3700;48800,0000;77100,0000;123969,3390;3965,4480
Tern;795,0000;45/7;3,0000;27,0002;10,7290;0,0712;0,0738;0,0809;0,0032;0,0868;1340,0000;10064,5990;0,1331;21,1200;42900,0000;66600,0000;126992,9814;3169,9200
Drake;795,0000;41481,0000;2,0000;28,1432;11,3690;0,0705;0,0728;0,0798;0,0032;0,0856;1630,0000;13970,1121;0,1167;19,3800;48400,0000;77000,0000;155112,8558;5486,4000
Rail;954,0000;45/7;3,0000;29,5910;11,7653;0,0594;0,0620;0,0679;0,0032;0,0728;1610,0000;11930,6797;0,1349;21,1100;42400,0000;66700,0000;152391,5777;4572,0000
Cardinal;954,0000;54/7;3,0000;30,3784;12,2530;0,0591;0,0614;0,0672;0,0032;0,0721;1840,0000;15193,7716;0,1211;19,9100;46900,0000;73200,0000;174161,8030;4754,8800
Ortolan;1033,5000;45/7;3,0000;30,8102;12,2530;0,0548;0,0574;0,0628;0,0031;0,0673;1860,0000;16000,0000;0,1163;20,5200;44450,0000;69900,0000;188675,2866;4221,4800
Bluejay;1113,0000;45/7;3,0000;31,9786;12,6492;0,0509;0,0535;0,0585;0,0031;0,0626;1870,0000;13766,1689;0,1358;21,1300;42000,0000;66600,0000;177790,1739;3916,6800
